! These are pre-CVPIA minimum instream flow values (in cfs) based on year
! type are taken from the PROSIM FWQ_b203.dat file circa 07/15/99.
! Please see that file for additional documentation.
!  
! Dustin Jones 11/22/99
! Revised by SRS 12/14/99
!
! NMFS Winter-Run B.O.
! 02 FEB 92 draft
! 12 FEB 93 final
! 17 MAY 95 revised
! Red Bluff Diversion Dam
!
redbluff_base
month  ShastaIndx      RedMin
1           1            3250
1           2            3250
1           3            3250
1           4            3250
1           5            3000
2           1            3250
2           2            3250
2           3            3250
2           4            3250
2           5            3000
3           1            3250
3           2            3250
3           3            3250
3           4            3250
3           5            3000
4           1            3250
4           2            3250
4           3            3250
4           4            3250
4           5            3000
5           1            3250
5           2            3250
5           3            3250
5           4            3250
5           5            3000
6           1            3250
6           2            3250
6           3            3250
6           4            3250
6           5            3000
7           1            3250
7           2            3250
7           3            3250
7           4            3250
7           5            3000
8           1            3250
8           2            3250
8           3            3250
8           4            3250
8           5            3250
9           1            3250
9           2            3250
9           3            3250
9           4            3250
9           5            3250
10          1            3250
10          2            3250
10          3            3250
10          4            3250
10          5            3250
11          1            3250
11          2            3250
11          3            3250
11          4            3250
11          5            3250
12          1            3900
12          2            3900
12          3            3900
12          4            3900
12          5            3250
                        
                        
                        
